,PValue
ENSG00000111057,8.361662557744751e-119
ENSG00000160882,3.783902591374739e-118
ENSG00000147465,1.3322634869499525e-115
ENSG00000138356,1.9870361151128027e-115
ENSG00000140459,4.2514305651996934e-113
ENSG00000036530,1.0393997980266185e-111
ENSG00000106541,2.6542076127355054e-111
ENSG00000170421,1.4823910473205844e-107
ENSG00000203859,3.131722107241916e-107
ENSG00000181885,9.343448389419008e-107
ENSG00000087250,4.646784846099947e-106
ENSG00000124194,3.0267483984997817e-105
ENSG00000153002,4.518234241895341e-105
ENSG00000142273,1.0992059325037519e-104
ENSG00000180815,1.6302793944658533e-103
ENSG00000196338,3.144625871997399e-102
ENSG00000129214,9.033904764601036e-102
ENSG00000231852,1.514412008014497e-100
ENSG00000135409,1.7829208458986844e-100
ENSG00000161513,5.373347854306151e-100
ENSG00000137714,6.314563280144755e-100
ENSG00000184292,6.611187820339798e-100
ENSG00000182902,1.4437984535964852e-98
ENSG00000148795,1.9186047476111517e-98
ENSG00000147647,3.4112526907225466e-96
ENSG00000173262,8.947850664969163e-96
ENSG00000185559,1.5661086509600197e-95
ENSG00000137673,6.07436572241121e-95
ENSG00000171303,1.471783642835166e-94
ENSG00000168672,4.190270221042853e-93
ENSG00000164050,5.533726190015865e-93
ENSG00000137269,1.2867531704784058e-92
ENSG00000062038,3.61209318827244e-92
ENSG00000170786,3.675277655092516e-92
ENSG00000111319,4.718754179135537e-92
ENSG00000184012,8.74592591698842e-92
ENSG00000108639,1.0836159568081842e-91
ENSG00000132698,3.4333486571092956e-91
ENSG00000135525,4.8868039798025094e-91
ENSG00000129675,6.680513621563892e-91
ENSG00000081923,1.1475043075684529e-90
ENSG00000149573,3.2127397671505e-90
ENSG00000065361,6.677481049393262e-90
ENSG00000187866,8.014717384778356e-90
ENSG00000073067,5.0357742706864476e-89
ENSG00000159166,8.192688112024884e-89
ENSG00000144283,1.0717110817733768e-88
ENSG00000104413,2.1505499292590568e-88
ENSG00000158813,3.7313806516048246e-88
ENSG00000103018,5.110444230503752e-88
ENSG00000144406,7.230052509475762e-88
ENSG00000185909,7.277554868458514e-88
ENSG00000109519,1.0148472765720603e-87
ENSG00000145384,1.2723668806524316e-87
ENSG00000146904,2.0054592123977539e-87
ENSG00000085662,2.4172677958050327e-87
ENSG00000196365,2.6781119875802077e-87
ENSG00000105514,2.9826041712482098e-87
ENSG00000148426,4.708488219807009e-87
ENSG00000141736,5.304718509277789e-87
