,PValue
ENSG00000111057,8.36166255774475e-119
ENSG00000160882,3.783902591374738e-118
ENSG00000147465,1.3322634869499523e-115
ENSG00000138356,1.9870361151128022e-115
ENSG00000140459,4.2514305651996916e-113
ENSG00000036530,1.0393997980266181e-111
ENSG00000106541,2.6542076127355043e-111
ENSG00000170421,1.482391047320584e-107
ENSG00000203859,3.1317221072419154e-107
ENSG00000181885,9.343448389419006e-107
ENSG00000087250,4.646784846099946e-106
ENSG00000124194,3.0267483984997813e-105
ENSG00000153002,4.51823424189534e-105
ENSG00000142273,1.0992059325037517e-104
ENSG00000180815,1.6302793944658529e-103
ENSG00000196338,3.144625871997398e-102
ENSG00000129214,9.033904764601034e-102
ENSG00000231852,1.5144120080144966e-100
ENSG00000135409,1.7829208458986837e-100
ENSG00000161513,5.37334785430615e-100
ENSG00000137714,6.314563280144754e-100
ENSG00000184292,6.611187820339797e-100
ENSG00000182902,1.4437984535964849e-98
ENSG00000148795,1.9186047476111517e-98
ENSG00000147647,3.4112526907225458e-96
ENSG00000173262,8.94785066496916e-96
ENSG00000185559,1.5661086509600193e-95
ENSG00000137673,6.074365722411209e-95
ENSG00000171303,1.4717836428351656e-94
ENSG00000168672,4.190270221042852e-93
ENSG00000164050,5.533726190015864e-93
ENSG00000137269,1.2867531704784056e-92
ENSG00000062038,3.612093188272439e-92
ENSG00000170786,3.675277655092515e-92
ENSG00000111319,4.718754179135535e-92
ENSG00000184012,8.745925916988418e-92
ENSG00000108639,1.083615956808184e-91
ENSG00000132698,3.4333486571092956e-91
ENSG00000135525,4.8868039798025083e-91
ENSG00000129675,6.68051362156389e-91
ENSG00000081923,1.1475043075684527e-90
ENSG00000149573,3.2127397671504994e-90
ENSG00000065361,6.677481049393261e-90
ENSG00000187866,8.014717384778354e-90
ENSG00000073067,5.035774270686447e-89
ENSG00000159166,8.192688112024882e-89
ENSG00000144283,1.0717110817733765e-88
ENSG00000104413,2.1505499292590565e-88
ENSG00000158813,3.7313806516048235e-88
ENSG00000103018,5.110444230503751e-88
ENSG00000144406,7.230052509475762e-88
ENSG00000185909,7.277554868458513e-88
ENSG00000109519,1.01484727657206e-87
ENSG00000145384,1.2723668806524312e-87
ENSG00000146904,2.0054592123977532e-87
ENSG00000085662,2.4172677958050322e-87
ENSG00000196365,2.678111987580207e-87
ENSG00000105514,2.982604171248209e-87
ENSG00000148426,4.708488219807009e-87
ENSG00000141736,5.304718509277788e-87
ENSG00000170509,5.3617233729042285e-87
ENSG00000164929,8.263338821070668e-87
ENSG00000072062,1.2058352417168187e-86
ENSG00000089199,2.3739213925078323e-86
ENSG00000188488,5.5811043710535076e-86
ENSG00000149418,1.831100876481732e-85
ENSG00000168556,2.881930217917753e-85
ENSG00000174156,4.658336968445736e-85
ENSG00000123297,5.192738666052162e-85
ENSG00000170890,6.430946208596614e-85
ENSG00000173848,6.650676499658632e-85
ENSG00000152684,8.928254181671565e-85
ENSG00000007314,9.439955289617398e-85
ENSG00000161509,1.1075166902102858e-84
ENSG00000157782,1.1506772553884101e-84
ENSG00000089356,1.2436432419073256e-84
ENSG00000129354,1.4232216446131884e-84
ENSG00000197822,3.07093301683207e-84
ENSG00000113645,6.208504275333542e-84
ENSG00000115648,1.7291363518229256e-83
ENSG00000173467,3.35438407108134e-83
ENSG00000143797,3.674195547333675e-83
ENSG00000132470,6.925951923823429e-83
ENSG00000142765,8.543356987149615e-83
ENSG00000115159,1.0816890792930214e-82
ENSG00000090975,2.546642402265074e-82
ENSG00000086548,2.8214500395556284e-82
ENSG00000089060,3.938168817056301e-82
ENSG00000135677,5.926993477274726e-82
ENSG00000119048,1.1963208859482752e-81
ENSG00000003147,1.223320862763124e-81
ENSG00000057252,1.3668691049035562e-81
ENSG00000156675,1.6257454225311188e-81
ENSG00000115286,1.8860498643960995e-81
ENSG00000151176,2.8831214506968454e-81
ENSG00000198561,3.10344781322458e-81
ENSG00000143819,4.1196318261787406e-81
ENSG00000196188,1.2621450064417414e-80
ENSG00000107537,1.6439610665133877e-80
ENSG00000184363,3.015507671116383e-80
