,PValue
ENSG00000111057,8.361662557744747e-119
ENSG00000160882,3.783902591374737e-118
ENSG00000147465,1.3322634869499523e-115
ENSG00000138356,1.9870361151128018e-115
ENSG00000140459,4.251430565199691e-113
ENSG00000036530,1.0393997980266177e-111
ENSG00000106541,2.654207612735504e-111
ENSG00000170421,1.4823910473205835e-107
ENSG00000203859,3.1317221072419154e-107
ENSG00000181885,9.343448389419005e-107
ENSG00000087250,4.646784846099946e-106
ENSG00000124194,3.02674839849978e-105
ENSG00000153002,4.518234241895339e-105
ENSG00000142273,1.0992059325037514e-104
ENSG00000180815,1.6302793944658524e-103
ENSG00000196338,3.1446258719973978e-102
ENSG00000129214,9.033904764601031e-102
ENSG00000231852,1.5144120080144963e-100
ENSG00000135409,1.7829208458986832e-100
ENSG00000161513,5.373347854306149e-100
ENSG00000137714,6.314563280144753e-100
ENSG00000184292,6.611187820339797e-100
ENSG00000182902,1.4437984535964843e-98
ENSG00000148795,1.9186047476111517e-98
ENSG00000147647,3.4112526907225445e-96
ENSG00000173262,8.94785066496916e-96
ENSG00000185559,1.566108650960019e-95
ENSG00000137673,6.074365722411208e-95
ENSG00000171303,1.4717836428351653e-94
ENSG00000168672,4.190270221042852e-93
ENSG00000164050,5.5337261900158635e-93
ENSG00000137269,1.286753170478405e-92
ENSG00000062038,3.612093188272438e-92
ENSG00000170786,3.675277655092515e-92
ENSG00000111319,4.7187541791355344e-92
ENSG00000184012,8.745925916988417e-92
ENSG00000108639,1.0836159568081838e-91
ENSG00000132698,3.4333486571092956e-91
ENSG00000135525,4.8868039798025067e-91
ENSG00000129675,6.680513621563887e-91
ENSG00000081923,1.1475043075684527e-90
ENSG00000149573,3.2127397671504985e-90
ENSG00000065361,6.67748104939326e-90
ENSG00000187866,8.014717384778352e-90
ENSG00000073067,5.0357742706864455e-89
ENSG00000159166,8.192688112024881e-89
ENSG00000144283,1.0717110817733761e-88
ENSG00000104413,2.150549929259056e-88
ENSG00000158813,3.7313806516048235e-88
ENSG00000103018,5.11044423050375e-88
ENSG00000144406,7.230052509475762e-88
ENSG00000185909,7.277554868458511e-88
ENSG00000109519,1.0148472765720596e-87
ENSG00000145384,1.272366880652431e-87
ENSG00000146904,2.0054592123977523e-87
ENSG00000085662,2.417267795805032e-87
ENSG00000196365,2.678111987580206e-87
ENSG00000105514,2.9826041712482084e-87
ENSG00000148426,4.708488219807009e-87
ENSG00000141736,5.3047185092777875e-87
ENSG00000170509,5.361723372904228e-87
ENSG00000164929,8.263338821070668e-87
ENSG00000072062,1.2058352417168186e-86
ENSG00000089199,2.373921392507832e-86
ENSG00000188488,5.581104371053507e-86
ENSG00000149418,1.8311008764817315e-85
ENSG00000168556,2.881930217917753e-85
ENSG00000174156,4.658336968445735e-85
ENSG00000123297,5.19273866605216e-85
ENSG00000170890,6.430946208596612e-85
ENSG00000173848,6.65067649965863e-85
ENSG00000152684,8.928254181671563e-85
ENSG00000007314,9.439955289617395e-85
ENSG00000161509,1.1075166902102858e-84
ENSG00000157782,1.1506772553884097e-84
ENSG00000089356,1.2436432419073256e-84
ENSG00000129354,1.4232216446131884e-84
ENSG00000197822,3.0709330168320693e-84
ENSG00000113645,6.208504275333542e-84
ENSG00000115648,1.7291363518229253e-83
ENSG00000173467,3.3543840710813386e-83
ENSG00000143797,3.6741955473336736e-83
ENSG00000132470,6.925951923823428e-83
ENSG00000142765,8.543356987149614e-83
ENSG00000115159,1.0816890792930213e-82
ENSG00000090975,2.5466424022650734e-82
ENSG00000086548,2.821450039555627e-82
ENSG00000089060,3.938168817056301e-82
ENSG00000135677,5.926993477274725e-82
ENSG00000119048,1.196320885948275e-81
ENSG00000003147,1.2233208627631237e-81
ENSG00000057252,1.366869104903556e-81
ENSG00000156675,1.6257454225311186e-81
ENSG00000115286,1.886049864396099e-81
ENSG00000151176,2.8831214506968444e-81
ENSG00000198561,3.1034478132245796e-81
ENSG00000143819,4.11963182617874e-81
ENSG00000196188,1.2621450064417412e-80
ENSG00000107537,1.6439610665133874e-80
ENSG00000184363,3.015507671116383e-80
